0.91	VSS	[[383.9490661621094, 80.19196319580078], [435.492919921875, 80.19196319580078], [435.492919921875, 107.26976776123047], [383.9490661621094, 107.26976776123047]]
0.99	C4	[[700.5755615234375, 140.59629821777344], [726.8734741210938, 140.59629821777344], [726.8734741210938, 162.4668426513672], [700.5755615234375, 162.4668426513672]]
0.99	D3	[[842.5841674804688, 182.2544708251953], [869.9339599609375, 182.2544708251953], [869.9339599609375, 202.04208374023438], [842.5841674804688, 202.04208374023438]]
1.00	D2	[[1108.71875, 178.08865356445312], [1141.328125, 178.08865356445312], [1141.328125, 202.04208374023438], [1108.71875, 202.04208374023438]]
1.00	VGL	[[589.0725708007812, 217.6638946533203], [638.5125732421875, 217.6638946533203], [638.5125732421875, 244.74171447753906], [589.0725708007812, 244.74171447753906]]
0.99	C2	[[422.86993408203125, 234.32716369628906], [455.47930908203125, 234.32716369628906], [455.47930908203125, 260.363525390625], [422.86993408203125, 260.363525390625]]
0.99	C3	[[947.7756958007812, 297.8558654785156], [980.3850708007812, 297.8558654785156], [980.3850708007812, 322.85076904296875], [947.7756958007812, 322.85076904296875]]
0.99	D1	[[870.98583984375, 334.3067626953125], [899.3875732421875, 334.3067626953125], [899.3875732421875, 355.1358337402344], [870.98583984375, 355.1358337402344]]
0.96	T2	[[1453.7469482421875, 366.5918273925781], [1485.304443359375, 366.5918273925781], [1485.304443359375, 386.37945556640625], [1453.7469482421875, 386.37945556640625]]
1.00	VGH	[[266.13458251953125, 375.9649353027344], [319.7822570800781, 375.9649353027344], [319.7822570800781, 403.042724609375], [266.13458251953125, 403.042724609375]]
0.94	VCI	[[1747.2313232421875, 378.0478210449219], [1792.463623046875, 381.17218017578125], [1790.35986328125, 407.20855712890625], [1745.12744140625, 404.08416748046875]]
0.98	D	[[951.9833374023438, 460.32269287109375], [969.8659057617188, 455.11541748046875], [976.1773681640625, 475.94451904296875], [958.2947998046875, 481.15179443359375]]
0.79	VSS	[[660.602783203125, 510.3125], [712.1466674804688, 510.3125], [712.1466674804688, 537.3903198242188], [660.602783203125, 537.3903198242188]]
0.51	D	[[993.008056640625, 554.0535888671875], [1006.6829223632812, 554.0535888671875], [1006.6829223632812, 571.75830078125], [993.008056640625, 571.75830078125]]
0.98	U1	[[1958.666259765625, 617.582275390625], [1990.2237548828125, 617.582275390625], [1990.2237548828125, 642.5771484375], [1958.666259765625, 642.5771484375]]
0.98	R1	[[670.070068359375, 649.8673706054688], [695.3159790039062, 649.8673706054688], [695.3159790039062, 671.7378540039062], [670.070068359375, 671.7378540039062]]
0.95	S	[[956.1909790039062, 649.8673706054688], [973.0216674804688, 649.8673706054688], [973.0216674804688, 672.7793579101562], [956.1909790039062, 672.7793579101562]]
1.00	GDR	[[1089.7841796875, 676.9451293945312], [1146.587646484375, 676.9451293945312], [1146.587646484375, 704.02294921875], [1089.7841796875, 704.02294921875]]
0.98	GDR	[[1634.6763916015625, 687.3596801757812], [1691.479736328125, 687.3596801757812], [1691.479736328125, 710.2716674804688], [1634.6763916015625, 710.2716674804688]]
0.83	2	[[1863.993896484375, 681.1109619140625], [1879.7725830078125, 681.1109619140625], [1879.7725830078125, 705.0643920898438], [1863.993896484375, 705.0643920898438]]
1.00	RESE	[[1076.109375, 707.1473388671875], [1143.431884765625, 709.230224609375], [1142.3800048828125, 738.3909301757812], [1075.057373046875, 736.3080444335938]]
0.99	RESE	[[1626.260986328125, 717.5618286132812], [1694.635498046875, 717.5618286132812], [1694.635498046875, 742.5567626953125], [1626.260986328125, 742.5567626953125]]
0.58	3	[[1863.993896484375, 711.3131103515625], [1879.7725830078125, 711.3131103515625], [1879.7725830078125, 737.3494873046875], [1863.993896484375, 737.3494873046875]]
1.00	4	[[1863.993896484375, 743.5982055664062], [1880.8245849609375, 743.5982055664062], [1880.8245849609375, 767.5516357421875], [1863.993896484375, 767.5516357421875]]
0.99	VSH2	[[1079.26513671875, 770.676025390625], [1142.3800048828125, 770.676025390625], [1142.3800048828125, 799.8367309570312], [1079.26513671875, 799.8367309570312]]
0.99	VSH2	[[1625.2091064453125, 781.090576171875], [1694.635498046875, 781.090576171875], [1694.635498046875, 806.08544921875], [1625.2091064453125, 806.08544921875]]
0.95	VSS	[[329.2494812011719, 813.3756103515625], [379.7414245605469, 813.3756103515625], [379.7414245605469, 839.4119873046875], [329.2494812011719, 839.4119873046875]]
0.97	C6	[[468.102294921875, 814.4171142578125], [502.8155212402344, 814.4171142578125], [502.8155212402344, 838.3705444335938], [468.102294921875, 838.3705444335938]]
