Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0805_2012Metric","C_0805_2012Metric",12.000000,-10.740000,180.000000,top
"C2","C_0805_2012Metric","C_0805_2012Metric",12.000000,-8.280000,180.000000,top
"C3","C_0603_1608Metric","C_0603_1608Metric",15.765000,-10.490000,180.000000,top
"C4","C_0603_1608Metric","C_0603_1608Metric",15.765000,-8.030000,180.000000,top
"C5","C_0603_1608Metric","C_0603_1608Metric",15.765000,-15.410000,180.000000,top
"C6","C_0603_1608Metric","C_0603_1608Metric",16.588500,-77.416600,0.000000,top
"C7","C_0603_1608Metric","C_0603_1608Metric",17.372400,-75.098000,0.000000,top
"C8","C_0603_1608Metric","C_0603_1608Metric",25.921300,-67.003500,0.000000,top
"C9","C_0603_1608Metric","C_0603_1608Metric",30.097500,-58.875000,90.000000,top
"C10","C_0805_2012Metric","C_0805_2012Metric",34.700000,-53.387500,0.000000,top
"C11","C_0603_1608Metric","C_0603_1608Metric",35.175000,-56.097500,0.000000,top
"C12","C_0805_2012Metric","C_0805_2012Metric",38.542500,-64.500000,0.000000,top
"C13","C_0805_2012Metric","C_0805_2012Metric",30.982500,-64.500000,180.000000,top
"C14","C_0805_2012Metric","C_0805_2012Metric",37.108000,-38.538300,90.000000,top
"C15","C_0805_2012Metric","C_0805_2012Metric",31.300000,-55.887500,180.000000,top
"C16","C_0603_1608Metric","C_0603_1608Metric",46.285000,-53.327500,0.000000,top
"C17","C_0603_1608Metric","C_0603_1608Metric",15.093000,-64.526400,0.000000,top
"C18","C_0805_2012Metric","C_0805_2012Metric",34.525000,-40.750000,90.000000,top
"C19","C_0805_2012Metric","C_0805_2012Metric",32.029500,-40.019600,90.000000,top
"C20","C_0805_2012Metric","C_0805_2012Metric",37.724800,-50.185700,90.000000,top
"C21","C_0805_2012Metric","C_0805_2012Metric",42.319200,-49.754300,90.000000,top
"C22","C_0805_2012Metric","C_0805_2012Metric",33.797000,-48.676000,0.000000,top
"C23","C_0805_2012Metric","C_0805_2012Metric",45.049200,-58.173300,90.000000,top
"C24","C_0603_1608Metric","C_0603_1608Metric",30.325000,-45.250000,0.000000,top
"C25","C_0805_2012Metric","C_0805_2012Metric",19.938500,-43.348800,0.000000,top
"C26","C_0603_1608Metric","C_0603_1608Metric",13.012700,-47.571800,0.000000,top
"C27","C_0805_2012Metric","C_0805_2012Metric",20.863300,-40.667000,0.000000,top
"C28","C_0805_2012Metric","C_0805_2012Metric",17.549700,-37.232200,0.000000,top
"C29","C_0805_2012Metric","C_0805_2012Metric",22.669100,-57.408000,0.000000,top
"C30","C_0805_2012Metric","C_0805_2012Metric",9.250000,-39.710000,0.000000,top
